Item,Enchantment,Description,Gems,Source
Helmet,Enchantment Power Siphon Attack Speed 1,10% increased Power Siphon Attack Speed,Power Siphon,Merciless Labyrinth
Helmet,Enchantment Rain Of Arrows Attack Speed 1,10% increased Rain of Arrows Attack Speed,Rain of Arrows,Merciless Labyrinth
Helmet,Enchantment Rallying Cry Buff Effect 1,10% increased Rallying Cry Buff Effect,Rallying Cry,Merciless Labyrinth
Helmet,Enchantment Fire Beam Length 1,10% increased Scorching Ray beam length,Scorching Ray,Merciless Labyrinth
Helmet,Enchantment Shield Charge Attack Speed 1,10% increased Shield Charge Attack Speed,Shield Charge,Merciless Labyrinth
Helmet,Enchantment Shield Crush Attack Speed 1,10% increased Shield Crush Attack Speed,Shield Crush,Merciless Labyrinth
Helmet,Enchantment Shockwave Totem Cast Speed 1,10% increased Shockwave Totem Cast Speed,Shockwave Totem,Merciless Labyrinth
Helmet,Enchantment Whirling Blades Attack Speed 1,10% increased Whirling Blades Attack Speed,Whirling Blades,Merciless Labyrinth
Helmet,Enchantment Burning Arrow Physical Damage Percent To Add As Fire Damage 1,10% of Burning Arrow Physical Damage gained as Extra Fire Damage,Burning Arrow,Merciless Labyrinth
Helmet,Enchantment Shrapnel Shot Physical Damage Percent To Add As Lightning Damage 1,10% of Galvanic Arrow Physical Damage gained as extra Lightning Damage,Galvanic Arrow,Merciless Labyrinth
Helmet,Enchantment Glacial Hammer Physical Damage Percent To Add As Cold Damage 1,10% of Glacial Hammer Physical Damage gained as Extra Cold Damage,Glacial Hammer,Merciless Labyrinth
Helmet,Enchantment Ice Crash Physical Damage Percent To Add As Cold Damage 1,10% of Ice Crash Physical Damage gained as Extra Cold Damage,Ice Crash,Merciless Labyrinth
Helmet,Enchantment Infernal Blow Physical Damage Percent To Add As Fire Damage 1,10% of Infernal Blow Physical Damage gained as Extra Fire Damage,Infernal Blow,Merciless Labyrinth
Boots,Enchantment Mana Cost 1,10% reduced Mana Cost of Skills if you've been Hit Recently,,Cruel Labyrinth
Helmet,Enchantment Summon Carrion Golem Granted Buff Effect 1,100% increased Effect of the Buff granted by your Carrion Golems,Summon Carrion Golem,Merciless Labyrinth
Helmet,Enchantment Chaos Golem Percent Additional Physical Damage Reduction 2,100% increased Effect of the Buff granted by your Chaos Golems,Summon Chaos Golem,Eternal Labyrinth
Helmet,Enchantment Flame Golem Granted Buff Effect 1,100% increased Effect of the Buff granted by your Flame Golems,Summon Flame Golem,Merciless Labyrinth
Helmet,Enchantment Ice Golem Grants Percent Additional Critical Strike Chance And Accuracy 1,100% increased Effect of the Buff granted by your Ice Golems,Summon Ice Golem,Merciless Labyrinth
Helmet,Enchantment Lightning Golem Granted Buff Effect 1,100% increased Effect of the Buff granted by your Lightning Golems,Summon Lightning Golem,Merciless Labyrinth
Helmet,Enchantment Stone Golem Granted Buff Effect 1,100% increased Effect of the Buff granted by your Stone Golems,Summon Stone Golem,Merciless Labyrinth
Helmet,Enchantment Molten Shell Armour 1,100% increased Molten Shell Buff Effect,Molten Shell,Merciless Labyrinth
Helmet,Enchantment Absolution Cast Speed 2,12% increased Absolution Cast Speed,Absolution,Eternal Labyrinth
Helmet,Enchantment Ancestral Protector Placement Speed 1,12% increased Ancestral Protector Totem Placement Speed,Ancestral Protector,Merciless Labyrinth
Boots,Enchantment Attack and Cast Speed 2,12% increased Attack and Cast Speed if you've Killed Recently,,Merciless Labyrinth
Helmet,Enchantment Body Swap Cast Speed 2,12% increased Bodyswap Cast Speed,Bodyswap,Eternal Labyrinth
Helmet,Enchantment Cremation Cast Speed 2,12% increased Cremation Cast Speed,Cremation,Eternal Labyrinth
Helmet,Enchantment Dack Pact Cast Speed 2,12% increased Dark Pact Cast Speed,Dark Pact,Eternal Labyrinth
Helmet,Enchantment Fireball Cast Speed 2,12% increased Fireball Cast Speed,Fireball,Eternal Labyrinth
Helmet,Enchantment Freezing Pulse Cast Speed 2,12% increased Freezing Pulse Cast Speed,Freezing Pulse,Eternal Labyrinth
Helmet,Enchantment Lightning Warp Cast Speed 2,12% increased Lightning Warp Cast Speed,Lightning Warp,Eternal Labyrinth
Helmet,Enchantment Fire Beam Cast Speed 2,12% increased Scorching Ray Cast Speed,Scorching Ray,Eternal Labyrinth
Helmet,Enchantment Unearth Cast Speed 2,12% increased Unearth Cast Speed,Unearth,Eternal Labyrinth
Helmet,Enchantment Volatile Dead Cast Speed 2,12% increased Volatile Dead Cast Speed,Volatile Dead,Eternal Labyrinth
Boots,Enchantment Critical Strike Chance 3,120% increased Critical Strike Chance if you haven't Crit Recently,,Eternal Labyrinth
Boots,Enchantment Mana Cost 2,14% reduced Mana Cost of Skills if you've been Hit Recently,,Merciless Labyrinth
Helmet,Enchantment Ice Spear Percent Chance To Gain Power Charge On Critical Strike 2,15% Chance to gain a Power Charge on Critical Strike with Ice Spear,Ice Spear,Eternal Labyrinth
Belt,Enchantment Arcane Surge,15% increased Area of Effect while you have Arcane Surge,,Eternal Labyrinth of Potential
Helmet,Enchantment Barrage Attack Speed 2,15% increased Barrage Attack Speed,Barrage,Eternal Labyrinth
Helmet,Enchantment Battlemage's Cry Buff Effect 2,15% increased Battlemage's Cry Buff Effect,Battlemage's Cry,Eternal Labyrinth
Helmet,Enchantment Cleave Attack Speed 2,15% increased Cleave Attack Speed,Cleave,Eternal Labyrinth
Helmet,Enchantment Cyclone Attack Speed 2,15% increased Cyclone Attack Speed,Cyclone,Eternal Labyrinth
Helmet,Enchantment Double Strike Attack Speed 2,15% increased Double Strike Attack Speed,Double Strike,Eternal Labyrinth
Helmet,Enchantment Dual Strike Attack Speed 2,15% increased Dual Strike Attack Speed,Dual Strike,Eternal Labyrinth
Helmet,Enchantment Bane Linked Curse Effect 2,15% increased Effect of Curses applied by Bane,Bane,Eternal Labyrinth
Helmet,Enchantment Elemental Hit Attack Speed 2,15% increased Elemental Hit Attack Speed,Elemental Hit,Eternal Labyrinth
Helmet,Enchantment Frost Bolt Cast Speed 2,15% increased Frostbolt Cast Speed,Frostbolt,Eternal Labyrinth
Helmet,Enchantment Heavy Strike Attack Speed 2,15% increased Heavy Strike Attack Speed,Heavy Strike,Eternal Labyrinth
Helmet,Enchantment Leap Slam Attack Speed 2,15% increased Leap Slam Attack Speed,Leap Slam,Eternal Labyrinth
Helmet,Enchantment Power Siphon Attack Speed 2,15% increased Power Siphon Attack Speed,Power Siphon,Eternal Labyrinth
Helmet,Enchantment Rain Of Arrows Attack Speed 2,15% increased Rain of Arrows Attack Speed,Rain of Arrows,Eternal Labyrinth
Helmet,Enchantment Rallying Cry Buff Effect 2,15% increased Rallying Cry Buff Effect,Rallying Cry,Eternal Labyrinth
Helmet,Enchantment Fire Beam Length 2,15% increased Scorching Ray beam length,Scorching Ray,Eternal Labyrinth
Helmet,Enchantment Shield Charge Attack Speed 2,15% increased Shield Charge Attack Speed,Shield Charge,Eternal Labyrinth
Helmet,Enchantment Shield Crush Attack Speed 2,15% increased Shield Crush Attack Speed,Shield Crush,Eternal Labyrinth
Helmet,Enchantment Shockwave Totem Cast Speed 2,15% increased Shockwave Totem Cast Speed,Shockwave Totem,Eternal Labyrinth
Helmet,Enchantment Whirling Blades Attack Speed 2,15% increased Whirling Blades Attack Speed,Whirling Blades,Eternal Labyrinth
Helmet,Enchantment Burning Arrow Physical Damage Percent To Add As Fire Damage 2,15% of Burning Arrow Physical Damage gained as Extra Fire Damage,Burning Arrow,Eternal Labyrinth
Helmet,Enchantment Shrapnel Shot Physical Damage Percent To Add As Lightning Damage 2,15% of Galvanic Arrow Physical Damage gained as extra Lightning Damage,Galvanic Arrow,Eternal Labyrinth
Helmet,Enchantment Glacial Hammer Physical Damage Percent To Add As Cold Damage 2,15% of Glacial Hammer Physical Damage gained as Extra Cold Damage,Glacial Hammer,Eternal Labyrinth
Helmet,Enchantment Ice Crash Physical Damage Percent To Add As Cold Damage 2,15% of Ice Crash Physical Damage gained as Extra Cold Damage,Ice Crash,Eternal Labyrinth
Helmet,Enchantment Infernal Blow Physical Damage Percent To Add As Fire Damage 2,15% of Infernal Blow Physical Damage gained as Extra Fire Damage,Infernal Blow,Eternal Labyrinth
Helmet,Enchantment Summon Carrion Golem Granted Buff Effect 2,150% increased Effect of the Buff granted by your Carrion Golems,Summon Carrion Golem,Eternal Labyrinth
Helmet,Enchantment Flame Golem Granted Buff Effect 2,150% increased Effect of the Buff granted by your Flame Golems,Summon Flame Golem,Eternal Labyrinth
Helmet,Enchantment Ice Golem Grants Percent Additional Critical Strike Chance And Accuracy 2,150% increased Effect of the Buff granted by your Ice Golems,Summon Ice Golem,Eternal Labyrinth
Helmet,Enchantment Lightning Golem Granted Buff Effect 2,150% increased Effect of the Buff granted by your Lightning Golems,Summon Lightning Golem,Eternal Labyrinth
Helmet,Enchantment Stone Golem Granted Buff Effect 2,150% increased Effect of the Buff granted by your Stone Golems,Summon Stone Golem,Eternal Labyrinth
Helmet,Enchantment Molten Shell Armour 2,150% increased Molten Shell Buff Effect,Molten Shell,Eternal Labyrinth
Helmet,Enchantment Animate Weapon Chance To Create Additional Copy 1,16% chance to create an additional Animate Weapon copy,Animate Weapon,Merciless Labyrinth
Helmet,Enchantment Ancestor Warchief Area Of Effect 1,16% increased Ancestral Warchief Totem Area of Effect,Ancestral Warchief,Merciless Labyrinth
Boots,Enchantment Attack and Cast Speed 3,16% increased Attack and Cast Speed if you've Killed Recently,,Eternal Labyrinth
Helmet,Enchantment Ball Lightning Area Of Effect 1,16% increased Ball Lightning Area of Effect,Ball Lightning,Merciless Labyrinth
Helmet,Enchantment Blade Flurry Area Of Effect 1,16% increased Blade Flurry Area of Effect,Blade Flurry,Merciless Labyrinth
Helmet,Enchantment Blade Trap Area Of Effect 1,16% increased Blade Trap Area of Effect,Blade Trap,Merciless Labyrinth
Helmet,Enchantment Blade Vortex Area Of Effect 1,16% increased Blade Vortex Area of Effect,Blade Vortex,Merciless Labyrinth
Helmet,Enchantment Bladefall Area Of Effect 1,16% increased Bladefall Area of Effect,Bladefall,Merciless Labyrinth
Helmet,Enchantment Blight Area Of Effect 1,16% increased Blight Area of Effect,Blight,Merciless Labyrinth
Helmet,Enchantment Caustic Arrow Area Of Effect 1,16% increased Caustic Arrow Area of Effect,Caustic Arrow,Merciless Labyrinth
Helmet,Enchantment Cleave Area Of Effect 1,16% increased Cleave Area of Effect,Cleave,Merciless Labyrinth
Helmet,Enchantment Cold Snap Area Of Effect 1,16% increased Cold Snap Area of Effect,Cold Snap,Merciless Labyrinth
Helmet,Enchantment Contagion Radius 1,16% increased Contagion Area of Effect,Contagion,Merciless Labyrinth
Helmet,Enchantment Creeping Frost Area Of Effect 1,16% increased Creeping Frost Area of Effect,Creeping Frost,Merciless Labyrinth
Helmet,Enchantment Dark Pact Area Of Effect 1,16% increased Dark Pact Area of Effect,Dark Pact,Merciless Labyrinth
Helmet,Enchantment Decoy Totem Area Of Effect 1,16% increased Decoy Totem Area of Effect,Decoy Totem,Merciless Labyrinth
Helmet,Enchantment Detonate Dead Area Of Effect 1,16% increased Detonate Dead Area of Effect,Detonate Dead,Merciless Labyrinth
Helmet,Enchantment Earthquake Area Of Effect 1,16% increased Earthquake Area of Effect,Earthquake,Merciless Labyrinth
Helmet,Enchantment Explosive Concoction Area Of Effect 1,16% increased Explosive Concoction Area of Effect,Explosive Concoction,Merciless Labyrinth
Helmet,Enchantment Firestorm Explosion Area Of Effect 1,16% increased Firestorm explosion Area of Effect,Firestorm,Merciless Labyrinth
Helmet,Enchantment Flameblast Area Of Effect 1,16% increased Flameblast Area of Effect,Flameblast,Merciless Labyrinth
Helmet,Enchantment Frost Bomb Area Of Effect 1,16% increased Frost Bomb Area of Effect,Frost Bomb,Merciless Labyrinth
Helmet,Enchantment Shrapnel Shot Radius 1,16% increased Galvanic Arrow Area of Effect,Galvanic Arrow,Merciless Labyrinth
Helmet,Enchantment Glacial Cascade Area Of Effect 1,16% increased Glacial Cascade Area of Effect,Glacial Cascade,Merciless Labyrinth
Helmet,Enchantment Ground Slam Area Of Effect 1,16% increased Ground Slam Area of Effect,Ground Slam,Merciless Labyrinth
Helmet,Enchantment Ice Crash Area Of Effect 1,16% increased Ice Crash Area of Effect,Ice Crash,Merciless Labyrinth
Helmet,Enchantment Ice Nova Area Of Effect 1,16% increased Ice Nova Area of Effect,Ice Nova,Merciless Labyrinth
Helmet,Enchantment Ice Shot Area Of Effect 1,16% increased Ice Shot Area of Effect,Ice Shot,Merciless Labyrinth
Helmet,Enchantment Ice Trap Area Of Effect 1,16% increased Ice Trap Area of Effect,Ice Trap,Merciless Labyrinth
Helmet,Enchantment Incinerate Damage Per Stage 1,16% increased Incinerate Damage,Incinerate,Merciless Labyrinth
Helmet,Enchantment Infernal Blow Area Of Effect 1,16% increased Infernal Blow Area of Effect,Infernal Blow,Merciless Labyrinth
Helmet,Enchantment Kinetic Blast Area Of Effect 1,16% increased Kinetic Blast Area of Effect,Kinetic Blast,Merciless Labyrinth
Helmet,Enchantment Double Slash Area Of Effect 1,16% increased Lacerate Area of Effect,Lacerate,Merciless Labyrinth
Helmet,Enchantment Leap Slam Area Of Effect 1,16% increased Leap Slam Area of Effect,Leap Slam,Merciless Labyrinth
Helmet,Enchantment Lightning Arrow Area Of Effect 1,16% increased Lightning Arrow Area of Effect,Lightning Arrow,Merciless Labyrinth
Helmet,Enchantment Lightning Tendrils Area Of Effect 1,16% increased Lightning Tendrils Area of Effect,Lightning Tendrils,Merciless Labyrinth
Helmet,Enchantment Magma Orb Area Of Effect 1,16% increased Magma Orb Area of Effect,Rolling Magma,Merciless Labyrinth
Helmet,Enchantment Manabond Area Of Effect 1,16% increased Manabond Area of Effect,Manabond,Merciless Labyrinth
Helmet,Enchantment Molten Strike Area Of Effect 1,16% increased Molten Strike Area of Effect,Molten Strike,Merciless Labyrinth
Helmet,Enchantment Orb of Storms Area Of Effect 1,16% increased Orb of Storms Area of Effect,Orb of Storms,Merciless Labyrinth
Helmet,Enchantment Rage Vortex Area of Effect 1,16% increased Rage Vortex Area of Effect,Rage Vortex,Merciless Labyrinth
Helmet,Enchantment Rain Of Arrows Area Of Effect 1,16% increased Rain of Arrows Area of Effect,Rain of Arrows,Merciless Labyrinth
Helmet,Enchantment Reap Area Of Effect 1,16% increased Reap Area of Effect,Reap,Merciless Labyrinth
Helmet,Enchantment Reave Area Of Effect 1,16% increased Reave Radius,Reave,Merciless Labyrinth
Helmet,Enchantment Righteous Fire Area Of Effect 1,16% increased Righteous Fire Area of Effect,Righteous Fire,Merciless Labyrinth
Helmet,Enchantment Rolling Magma Area Of Effect 1,16% increased Rolling Magma Area of Effect,Rolling Magma,Merciless Labyrinth
Helmet,Enchantment Shock Nova Area Of Effect 1,16% increased Shock Nova Area of Effect,Shock Nova,Merciless Labyrinth
Helmet,Enchantment Shockwave Totem Radius 1,16% increased Shockwave Totem Area of Effect,Shockwave Totem,Merciless Labyrinth
Helmet,Enchantment Static Strike Area Of Effect 1,16% increased Static Strike Area of Effect,Static Strike,Merciless Labyrinth
Helmet,Enchantment Storm Burst Area Of Effect 1,16% increased Storm Burst Area of Effect,Storm Burst,Merciless Labyrinth
Helmet,Enchantment Storm Call Area Of Effect 1,16% increased Storm Call Area of Effect,Storm Call,Merciless Labyrinth
Helmet,Enchantment Sweep Area Of Effect 1,16% increased Sweep Area of Effect,Sweep,Merciless Labyrinth
Helmet,Enchantment Voltaxic Burst Area Of Effect 1,16% increased Voltaxic Burst Area of Effect,Voltaxic Burst,Merciless Labyrinth
Helmet,Enchantment Vortex Radius 1,16% increased Vortex Area of Effect,Vortex,Merciless Labyrinth
Helmet,Enchantment Ancestral Protector Placement Speed 2,18% increased Ancestral Protector Totem Placement Speed,Ancestral Protector,Eternal Labyrinth
Boots,Enchantment Mana Cost 3,18% reduced Mana Cost of Skills if you've been Hit Recently,,Eternal Labyrinth
Helmet,Enchantment Discharge Consume Charges 1,20% chance for Discharge to deal Damage without removing Charges,Discharge,Merciless Labyrinth
Helmet,Enchantment Phase Run Percent Chance To Not Consume Frenzy Charges 1,20% chance for Phase Run to increase Duration without removing Frenzy Charges,Phase Run,Merciless Labyrinth
Helmet,Enchantment Puncture Maim On Hit Percent Chance 1,20% Chance for Puncture to Maim on hit,Puncture,Merciless Labyrinth
Helmet,Enchantment Frenzy Percent Chance To Gain Additional Frenzy Charge 1,20% Chance on Frenzy to gain an additional Frenzy Charge,Frenzy,Merciless Labyrinth
Belt,Enchantment Elusive,20% chance to Avoid Elemental Ailments while you have Elusive,,Eternal Labyrinth of Potential
Helmet,Enchantment Summon Skeletons Additional Warrior Skeletons 1,20% chance to Summon an additional Skeleton Warrior with Summon Skeleton,Summon Skeletons,Merciless Labyrinth
Helmet,Enchantment Absolution Duration 1,20% increased Absolution Duration,Absolution,Merciless Labyrinth
Helmet,Enchantment Ambush Cooldown Recovery 1,20% increased Ambush Cooldown Recovery Rate,Ambush,Merciless Labyrinth
Helmet,Enchantment Animate Weapon Duration 1,20% increased Animate Weapon Duration,Animate Weapon,Merciless Labyrinth
Helmet,Enchantment Assassins Mark Curse Effect 1,20% increased Assassin's Mark Curse Effect,Assassin's Mark,Merciless Labyrinth
Helmet,Enchantment Blade Vortex Duration 1,20% increased Blade Vortex Duration,Blade Vortex,Merciless Labyrinth
Helmet,Enchantment Caustic Arrow Duration 1,20% increased Caustic Arrow Duration,Caustic Arrow,Merciless Labyrinth
Helmet,Enchantment Conductivity Curse Effect 1,20% increased Conductivity Curse Effect,Conductivity,Merciless Labyrinth
Helmet,Enchantment Contagion Duration 1,20% increased Contagion Duration,Contagion,Merciless Labyrinth
Helmet,Enchantment Corrupting Fever Duration 1,20% increased Corrupting Fever Duration,Corrupting Fever,Merciless Labyrinth
Helmet,Enchantment Desecrate Duration 1,20% increased Desecrate Duration,Desecrate,Merciless Labyrinth
Helmet,Enchantment Despair Effect 1,20% increased Despair Curse Effect,Despair,Merciless Labyrinth
Helmet,Enchantment Elemental Weakness Curse Effect 1,20% increased Elemental Weakness Curse Effect,Elemental Weakness,Merciless Labyrinth
Helmet,Enchantment Enfeeble Curse Effect 1,20% increased Enfeeble Curse Effect,Enfeeble,Merciless Labyrinth
Helmet,Enchantment Essence Drain Duration 1,20% increased Essence Drain Duration,Essence Drain,Merciless Labyrinth
Helmet,Enchantment Ethereal Knives Projectile Speed 1,20% increased Ethereal Knives Projectile Speed,Ethereal Knives,Merciless Labyrinth
Helmet,Enchantment Exsanguinate Duration 1,20% increased Exsanguinate Duration,Exsanguinate,Merciless Labyrinth
Helmet,Enchantment Eye of Winter Projectile Speed 1,20% increased Eye of Winter Projectile Speed,Eye of Winter,Merciless Labyrinth
Helmet,Enchantment Fire Trap Cooldown Speed 1,20% increased Fire Trap Damage,Fire Trap,Merciless Labyrinth
Helmet,Enchantment Firestorm Duration 1,20% increased Firestorm Duration,Firestorm,Merciless Labyrinth
Helmet,Enchantment Flammability Curse Effect 1,20% increased Flammability Curse Effect,Flammability,Merciless Labyrinth
Helmet,Enchantment Forbidden Rite Projectile Speed 1,20% increased Forbidden Rite Projectile Speed,Forbidden Rite,Merciless Labyrinth
Helmet,Enchantment Freezing Pulse Projectile Speed 1,20% increased Freezing Pulse Projectile Speed,Freezing Pulse,Merciless Labyrinth
Helmet,Enchantment Frost Blades Projectile Speed 1,20% increased Frost Blades Projectile Speed,Frost Blades,Merciless Labyrinth
Helmet,Enchantment Frostbite Curse Effect 1,20% increased Frostbite Curse Effect,Frostbite,Merciless Labyrinth
Helmet,Enchantment Ice Trap Cooldown Speed 1,20% increased Ice Trap Damage,Ice Trap,Merciless Labyrinth
Helmet,Enchantment Incinerate Projectile Speed 1,20% increased Incinerate Damage,Incinerate,Merciless Labyrinth
Helmet,Enchantment Lightning Trap Cooldown Speed 1,20% increased Lightning Trap Damage,Lightning Trap,Merciless Labyrinth
Helmet,Enchantment Poachers Mark Curse Effect 1,20% increased Poacher's Mark Curse Effect,Poacher's Mark,Merciless Labyrinth
Helmet,Enchantment Punishment Curse Effect 1,20% increased Punishment Curse Effect,Punishment,Merciless Labyrinth
Helmet,Enchantment Dominating Blow Duration 1,20% increased Sentinel of Dominance Duration,Dominating Blow,Merciless Labyrinth
Helmet,Enchantment Smoke Mine Duration 1,20% increased Smoke Mine Duration,Smoke Mine,Merciless Labyrinth
Helmet,Enchantment Spark Projectile Speed 1,20% increased Spark Projectile Speed,Spark,Merciless Labyrinth
Helmet,Enchantment Spectral Helix Projectile Speed 1,20% increased Spectral Helix Projectile Speed,Spectral Helix,Merciless Labyrinth
Helmet,Enchantment Spectral Shield Throw Projectile Speed 1,20% increased Spectral Shield Throw Projectile Speed,Spectral Shield Throw,Merciless Labyrinth
Helmet,Enchantment Spectral Throw Projectile Speed 1,20% increased Spectral Throw Projectile Speed,Spectral Throw,Merciless Labyrinth
Helmet,Enchantment Summon Reaper Cooldown Recovery 1,20% increased Summon Reaper Cooldown Recovery Rate,Summon Reaper,Merciless Labyrinth
Helmet,Enchantment Temporal Chains Curse Effect 1,20% increased Temporal Chains Curse Effect,Temporal Chains,Merciless Labyrinth
Helmet,Enchantment Viper Strike Poison Duration 1,20% increased Viper Strike Duration,Viper Strike,Merciless Labyrinth
Helmet,Enchantment Vortex Duration 1,20% increased Vortex Duration,Vortex,Merciless Labyrinth
Helmet,Enchantment Vulnerability Curse Effect 1,20% increased Vulnerability Curse Effect,Vulnerability,Merciless Labyrinth
Helmet,Enchantment Warlords Mark Curse Effect 1,20% increased Warlord's Mark Curse Effect,Warlord's Mark,Merciless Labyrinth
Helmet,Enchantment Earthquake Duration 1,20% reduced Earthquake Duration,Earthquake,Merciless Labyrinth
Helmet,Enchantment Lightning Warp Duration 1,20% reduced Lightning Warp Duration,Lightning Warp,Merciless Labyrinth
Helmet,Enchantment Spectral Throw Projectile Deceleration 1,20% reduced Spectral Throw Projectile Deceleration,Spectral Throw,Merciless Labyrinth
Helmet,Enchantment Storm Call Duration 1,20% reduced Storm Call Duration,Storm Call,Merciless Labyrinth
