Name,Source,Description,Gem
Enchantment Bane Area Of Effect 2,Eternal Labyrinth,Bane has 15% increased Area of Effect,Bane
Enchantment Bane Damage 1,Merciless Labyrinth,Bane deals 25% increased Damage,Bane
Enchantment Bane Damage 2,Eternal Labyrinth,Bane deals 40% increased Damage,Bane
Enchantment Bane Linked Curse Effect 1,Merciless Labyrinth,10% increased Effect of Curses applied by Bane,Bane
Enchantment Bane Linked Curse Effect 2,Eternal Labyrinth,15% increased Effect of Curses applied by Bane,Bane
Enchantment Barrage Attack Speed 1,Merciless Labyrinth,10% increased Barrage Attack Speed,Barrage
Enchantment Barrage Attack Speed 2,Eternal Labyrinth,15% increased Barrage Attack Speed,Barrage
Enchantment Barrage Damage 1,Merciless Labyrinth,25% increased Barrage Damage,Barrage
Enchantment Barrage Damage 2,Eternal Labyrinth,40% increased Barrage Damage,Barrage
Enchantment Barrage Num Of Additional Projectiles 1,Eternal Labyrinth,Barrage fires an additional Projectile,Barrage
Enchantment Bear Trap Cooldown Speed 1,Merciless Labyrinth,10% increased Bear Trap Cooldown Recovery Speed,Bear Trap
Enchantment Bear Trap Cooldown Speed 2,Eternal Labyrinth,15% increased Bear Trap Cooldown Recovery Speed,Bear Trap
Enchantment Bear Trap Damage 1,Merciless Labyrinth,25% increased Bear Trap Damage,Bear Trap
Enchantment Bear Trap Damage 2,Eternal Labyrinth,40% increased Bear Trap Damage,Bear Trap
Enchantment Bear Trap Damage Taken 1,Merciless Labyrinth,Enemies affected by Bear Trap take 5% increased Damage from Trap or Mine Hits,Bear Trap
Enchantment Bear Trap Damage Taken 2,Eternal Labyrinth,Enemies affected by Bear Trap take 10% increased Damage from Trap or Mine Hits,Bear Trap
Enchantment Berserk Effect 1,Merciless Labyrinth,Berserk has 20% increased Buff Effect,Berserk
Enchantment Berserk Effect 2,Eternal Labyrinth,Berserk has 30% increased Buff Effect,Berserk
Enchantment Berserk Rage Loss 1,Merciless Labyrinth,Berserk has 25% reduced Rage loss per second,Beserk
Enchantment Berserk Rage Loss 2,Eternal Labyrinth,Berserk has 40% reduced Rage loss per second,Berserk
Enchantment Bladefall Additional Volley,Eternal Labyrinth,Bladefall has an additional Volley,Bladefall
Enchantment Bladefall Critical Strike Chance 1,Merciless Labyrinth,60% increased Bladefall Critical Strike Chance,Bladefall
Enchantment Bladefall Critical Strike Chance 2,Eternal Labyrinth,90% increased Bladefall Critical Strike Chance,Bladefall
Enchantment Bladefall Damage 1,Merciless Labyrinth,25% increased Bladefall Damage,Bladefall
Enchantment Bladefall Damage 2,Eternal Labyrinth,40% increased Bladefall Damage,Bladefall
Enchantment Bladefall Area Of Effect 1,Merciless Labyrinth,8% increased Bladefall Area of Effect,Bladefall
Enchantment Bladefall Area Of Effect 2,Eternal Labyrinth,12% increased Bladefall Area of Effect,Bladefall
Enchantment Bladestorm Damage 1,Merciless Labyrinth,Bladestorm deals 25% increased Damage,Bladestorm
Enchantment Bladestorm Damage 2,Eternal Labyrinth,Bladestorm deals 40% increased Damage,Bladestorm
Enchantment Bladestorm Maximum Number Of Storms Allowed 1,Eternal Labyrinth,+1 to maximum number of Bladestorms,Bladestorm
Enchantment Bladestorm Sandstorm Speed 1,Merciless Labyrinth,Sand Bladestorms move with 50% increased speed,Bladestorm
Enchantment Bladestorm Sandstorm Speed 2,Eternal Labyrinth,Sand Bladestorms move with 75% increased speed,Bladestorm
Enchantment Blade Vortex Crit Multi Per Blade 1,Merciless Labyrinth,Blade Vortex has +2% to Critical Strike Multiplier for each blade,Blade Vortex
Enchantment Blade Vortex Crit Multi Per Blade 2,Eternal Labyrinth,Blade Vortex has +3% to Critical Strike Multiplier for each blade,Blade Vortex
Enchantment Blade Vortex Damage 1,Merciless Labyrinth,25% increased Blade Vortex Spell Damage,Blade Vortex
Enchantment Blade Vortex Damage 2,Eternal Labyrinth,40% increased Blade Vortex Spell Damage,Blade Vortex
Enchantment Blade Vortex Duration 1,Merciless Labyrinth,20% increased Blade Vortex Duration,Blade Vortex
Enchantment Blade Vortex Duration 2,Eternal Labyrinth,30% increased Blade Vortex Duration,Blade Vortex
Enchantment Blade Vortex Area Of Effect 1,Merciless Labyrinth,8% increased Blade Vortex Area of Effect,Blade Vortex
Enchantment Blade Vortex Area Of Effect 2,Eternal Labyrinth,12% increased Blade Vortex Area of Effect,Blade Vortex
Enchantment Blast Rain Additional Blast 1,Merciless Labyrinth,Blast Rain has a 50% chance for an additional blast,Blast Rain
Enchantment Blast Rain Additional Blast 2,Eternal Labyrinth,Blast Rain has a 75% chance for an additional blast,Blast Rain
Enchantment Blast Rain Damage 1,Merciless Labyrinth,25% increased Blast Rain Damage,Blast Rain
Enchantment Blast Rain Damage 2,Eternal Labyrinth,40% increased Blast Rain Damage,Blast Rain
Enchantment Blast Rain Area Of Effect 1,Merciless Labyrinth,8% increased Blast Rain Area of Effect,Blast Rain
Enchantment Blast Rain Area Of Effect 2,Eternal Labyrinth,12% increased Blast Rain Area of Effect,Blast Rain
Enchantment Blight Damage 1,Merciless Labyrinth,25% increased Blight Damage,Blight
Enchantment Blight Damage 2,Eternal Labyrinth,40% increased Blight Damage,Blight
Enchantment Blight Area Of Effect 1,Merciless Labyrinth,8% increased Blight Area of Effect,Blight
Enchantment Blight Area Of Effect 2,Eternal Labyrinth,12% increased Blight Area of Effect,Blight
Enchantment Blight Secondary Skill Duration 1,Merciless Labyrinth,Blight has 20% increased Hinder Duration,Blight
Enchantment Blight Secondary Skill Duration 2,Eternal Labyrinth,Blight has 30% increased Hinder Duration,Blight
Enchantment Blink Arrow Attack Speed 1,Merciless Labyrinth,Blink Arrow and Blink Arrow Clones have 10% increased Attack Speed,Blink Arrow
Enchantment Blink Arrow Attack Speed 2,Eternal Labyrinth,Blink Arrow and Blink Arrow Clones have 15% increased Attack Speed,Blink Arrow
Enchantment Blink Arrow Cooldown Speed 1,Merciless Labyrinth,20% increased Blink Arrow Cooldown Recovery Speed,Blink Arrow
Enchantment Blink Arrow Cooldown Speed 2,Eternal Labyrinth,30% increased Blink Arrow Cooldown Recovery Speed,Blink Arrow
Enchantment Blink Arrow Damage 1,Merciless Labyrinth,Blink Arrow and Blink Arrow Clones have 25% increased Damage,Blink Arrow
Enchantment Blink Arrow Damage 2,Eternal Labyrinth,Blink Arrow and Blink Arrow Clones have 40% increased Damage,Blink Arrow
Enchantment Blood and Sand Buff Effect 1,Merciless Labyrinth,Blood and Sand has 25% increased Buff Effect,Blood and Sand
Enchantment Blood and Sand Buff Effect 2,Eternal Labyrinth,Blood and Sand has 40% increased Buff Effect,Blood and Sand
Enchantment Blood Rage Attack Speed 1,Merciless Labyrinth,Blood Rage grants additional 8% increased Attack Speed,Blood Rage
Enchantment Blood Rage Attack Speed 2,Eternal Labyrinth,Blood Rage grants additional 12% increased Attack Speed,Blood Rage
Enchantment Blood Rage Frenzy On Kill 1,Merciless Labyrinth,Blood Rage grants additional 20% chance to gain a Frenzy Charge on Kill,Blood Rage
Enchantment Blood Rage Frenzy On Kill 2,Eternal Labyrinth,Blood Rage grants additional 30% chance to gain a Frenzy Charge on Kill,Blood Rage
Enchantment Body Swap Cast Speed 1,Merciless Labyrinth,8% increased Bodyswap Cast Speed,Bodyswap
Enchantment Body Swap Cast Speed 2,Eternal Labyrinth,12% increased Bodyswap Cast Speed,Bodyswap
Enchantment Body Swap Damage 1,Merciless Labyrinth,25% increased Bodyswap Damage,Bodyswap
Enchantment Body Swap Damage 2,Eternal Labyrinth,40% increased Bodyswap Damage,Bodyswap
Enchantment Unearth Cast Speed 1,Merciless Labyrinth,8% increased Unearth Cast Speed,Unearth
Enchantment Unearth Cast Speed 2,Eternal Labyrinth,12% increased Unearth Cast Speed,Unearth
Enchantment Unearth Corpse Level 1,Merciless Labyrinth,Unearth Spawns corpses with +3 Level,Unearth
Enchantment Unearth Corpse Level 2,Eternal Labyrinth,Unearth Spawns corpses with +5 Level,Unearth
Enchantment Unearth Damage 1,Merciless Labyrinth,25% increased Unearth Damage,Unearth
Enchantment Unearth Damage 2,Eternal Labyrinth,40% increased Unearth Damage,Unearth
Enchantment Bone Offering Block Chance 1,Merciless Labyrinth,Bone Offering grants an additional +6% Chance to Block Attack Damage,Bone Offering
Enchantment Bone Offering Block Chance 2,Eternal Labyrinth,Bone Offering grants an additional +9% Chance to Block Attack Damage,Bone Offering
Enchantment Bone Offering Duration 1,Merciless Labyrinth,30% increased Bone Offering Duration,Bone Offering
Enchantment Bone Offering Duration 2,Eternal Labyrinth,45% increased Bone Offering Duration,Bone Offering
Enchantment Burning Arrow Damage 1,Merciless Labyrinth,25% increased Burning Arrow Damage,Burning Arrow
Enchantment Burning Arrow Damage 2,Eternal Labyrinth,40% increased Burning Arrow Damage,Burning Arrow
Enchantment Burning Arrow Ignite Chance 1,Merciless Labyrinth,Burning Arrow has +20% chance to Ignite,Burning Arrow
Enchantment Burning Arrow Ignite Chance 2,Eternal Labyrinth,Burning Arrow has +30% chance to Ignite,Burning Arrow
Enchantment Burning Arrow Physical Damage Percent To Add As Fire Damage 1,Merciless Labyrinth,10% of Burning Arrow Physical Damage gained as Extra Fire Damage,Burning Arrow
Enchantment Burning Arrow Physical Damage Percent To Add As Fire Damage 2,Eternal Labyrinth,15% of Burning Arrow Physical Damage gained as Extra Fire Damage,Burning Arrow
Enchantment Summon Carrion Golem Damage 1,Merciless Labyrinth,Summoned Carrion Golems deal 25% increased Damage,Summon Carrion Golem
Enchantment Summon Carrion Golem Damage 2,Eternal Labyrinth,Summoned Carrion Golems deal 40% increased Damage,Summon Carrion Golem
Enchantment Summon Carrion Golem Elemental Resistances 1,Merciless Labyrinth,Summoned Carrion Golems have +24% to all Elemental Resistances,Summon Carrion Golem
Enchantment Summon Carrion Golem Elemental Resistances 2,Eternal Labyrinth,Summoned Carrion Golems have +36% to all Elemental Resistances,Summon Carrion Golem
Enchantment Summon Carrion Golem Granted Buff Effect 1,Merciless Labyrinth,100% increased Effect of the Buff granted by your Carrion Golems,Summon Carrion Golem
Enchantment Summon Carrion Golem Granted Buff Effect 2,Eternal Labyrinth,150% increased Effect of the Buff granted by your Carrion Golems,Summon Carrion Golem
Enchantment Caustic Arrow Damage 1,Merciless Labyrinth,25% increased Caustic Arrow Damage,Caustic Arrow
Enchantment Caustic Arrow Damage 2,Eternal Labyrinth,40% increased Caustic Arrow Damage,Caustic Arrow
Enchantment Caustic Arrow Duration 1,Merciless Labyrinth,20% increased Caustic Arrow Duration,Caustic Arrow
Enchantment Caustic Arrow Duration 2,Eternal Labyrinth,30% increased Caustic Arrow Duration,Caustic Arrow
Enchantment Caustic Arrow Area Of Effect 1,Merciless Labyrinth,8% increased Caustic Arrow Area of Effect,Caustic Arrow
Enchantment Caustic Arrow Area Of Effect 2,Eternal Labyrinth,12% increased Caustic Arrow Area of Effect,Caustic Arrow
Enchantment Caustic Arrow Wither On Hit 1,Merciless Labyrinth,Caustic Arrow has 14% chance to inflict Withered on Hit for 2 seconds base Duration,Caustic Arrow
Enchantment Caustic Arrow Wither On Hit 2,Eternal Labyrinth,Caustic Arrow has 20% chance to inflict Withered on Hit for 2 seconds base Duration,Caustic Arrow
Enchantment Chain Hook Cone Radius Per 12 Rage 1,Eternal Labyrinth,Chain Hook has +1 Radius per 12 Rage,Chain Hook
Enchantment Chain Hook Damage 1,Merciless Labyrinth,Chain Hook deals 25% increased Damage,Chain Hook
Enchantment Chain Hook Damage 2,Eternal Labyrinth,Chain Hook deals 40% increased Damage,Chain Hook
Enchantment Chain Hook Gain Rage On Hit Chance 1,Merciless Labyrinth,Chain Hook has a 25% chance to grant +1 Rage if it Hits Enemies,Chain Hook
Enchantment Chain Hook Gain Rage On Hit Chance 2,Eternal Labyrinth,Chain Hook has a 40% chance to grant +1 Rage if it Hits Enemies,Chain Hook
Enchantment Chaos Golem Elemental Resistances 1,Merciless Labyrinth,+24% to Chaos Golem Elemental Resistances,Summon Chaos Golem
Enchantment Chaos Golem Elemental Resistances 2,Eternal Labyrinth,+36% to Chaos Golem Elemental Resistances,Summon Chaos Golem
Enchantment Chaos Golem Percent Additional Physical Damage Reduction 1,Merciless Labyrinth,75% increased Effect of the Buff granted by your Chaos Golems,Summon Chaos Golem
Enchantment Chaos Golem Percent Additional Physical Damage Reduction 2,Eternal Labyrinth,100% increased Effect of the Buff granted by your Chaos Golems,Summon Chaos Golem
Enchantment Blade Flurry Damage 1,Merciless Labyrinth,25% increased Blade Flurry Damage,Blade Flurry
Enchantment Blade Flurry Damage 2,Eternal Labyrinth,40% increased Blade Flurry Damage,Blade Flurry
Enchantment Blade Flurry Dodge Per Stack 1,Merciless Labyrinth,6% chance to Dodge Attack Hits while at maximum Blade Flurry stages,Blade Flurry
Enchantment Blade Flurry Dodge Per Stack 2,Eternal Labyrinth,9% chance to Dodge Attack Hits while at maximum Blade Flurry stages,Blade Flurry
Enchantment Blade Flurry Area Of Effect 1,Merciless Labyrinth,8% increased Blade Flurry Area of Effect,Blade Flurry
Enchantment Blade Flurry Area Of Effect 2,Eternal Labyrinth,12% increased Blade Flurry Area of Effect,Blade Flurry
Enchantment Charged Dash Damage 1,Merciless Labyrinth,25% increased Charged Dash Damage,Charged Dash
Enchantment Charged Dash Damage 2,Eternal Labyrinth,40% increased Charged Dash Damage,Charged Dash
Enchantment Charged Dash Dodge When Finished Channelling 1,Merciless Labyrinth,4% chance to Dodge Attack Hits if you have finished Channelling Charged Dash Recently,Charged Dash
Enchantment Charged Dash Dodge When Finished Channelling 2,Eternal Labyrinth,6% chance to Dodge Attack Hits if you have finished Channelling Charged Dash Recently,Charged Dash
Enchantment Charged Dash Movement Speed 1,Merciless Labyrinth,Charged Dash has 10% more Movement Speed,Charged Dash
Enchantment Charged Dash Movement Speed 2,Eternal Labyrinth,Charged Dash has 15% more Movement Speed,Charged Dash
Enchantment Charged Dash Radius Final Explosion 1,Merciless Labyrinth,Charged Dash has +4 to Radius of each Wave's last damage Area,Charged Dash
Enchantment Charged Dash Radius Final Explosion 2,Eternal Labyrinth,Charged Dash has +6 to Radius of each Wave's last damage Area,Charged Dash
Enchantment Clarity Mana Reservation 1,Merciless Labyrinth,Clarity has 20% reduced Mana Reservation,Clarity
Enchantment Clarity Mana Reservation 2,Eternal Labyrinth,Clarity has 30% reduced Mana Reservation,Clarity
Enchantment Cleave Attack Speed 1,Merciless Labyrinth,10% increased Cleave Attack Speed,Cleave
Enchantment Cleave Attack Speed 2,Eternal Labyrinth,15% increased Cleave Attack Speed,Cleave
Enchantment Cleave Damage 1,Merciless Labyrinth,25% increased Cleave Damage,Cleave
Enchantment Cleave Damage 2,Eternal Labyrinth,40% increased Cleave Damage,Cleave
Enchantment Cleave Area Of Effect 1,Merciless Labyrinth,8% increased Cleave Area of Effect,Cleave
Enchantment Cleave Area Of Effect 2,Eternal Labyrinth,12% increased Cleave Area of Effect,Cleave
Enchantment Cobra Lash Damage 1,Merciless Labyrinth,Cobra Lash deals 25% increased Damage,Cobra Lash
Enchantment Cobra Lash Damage 2,Eternal Labyrinth,Cobra Lash deals 40% increased Damage,Cobra Lash
Enchantment Cobra Lash Number Of Additional Chains 1,Merciless Labyrinth,Cobra Lash Chains 2 additional times,Cobra Lash
Enchantment Cobra Lash Number Of Additional Chains 2,Eternal Labyrinth,Cobra Lash Chains 3 additional times,Cobra Lash
Enchantment Cobra Lash Projectile Speed 1,Merciless Labyrinth,Cobra Lash has 20% increased Projectile Speed,Cobra Lash
Enchantment Cobra Lash Projectile Speed 2,Eternal Labyrinth,Cobra Lash has 30% increased Projectile Speed,Cobra Lash
Enchantment Icicle Mine Critical Multiplier 1,Merciless Labyrinth,Icicle Mine has +20% to Critical Strike Multiplier,Icicle Mine
Enchantment Icicle Mine Critical Multiplier 2,Eternal Labyrinth,Icicle Mine has +30% to Critical Strike Multiplier,Icicle Mine
Enchantment Icicle Mine Damage 1,Merciless Labyrinth,Icicle Mine deals 25% increased Damage,Icicle Mine
Enchantment Icicle Mine Damage 2,Eternal Labyrinth,Icicle Mine deals 40% increased Damage,Icicle Mine
Enchantment Icicle Mine Throwing Speed 1,Merciless Labyrinth,Icicle Mine has 10% increased Throwing Speed,Icicle Mine
Enchantment Icicle MineThrowing Speed 2,Eternal Labyrinth,Icicle Mine has 15% increased Throwing Speed,Icicle Mine
Enchantment Cold Snap Cooldown Speed 1,Merciless Labyrinth,20% increased Cold Snap Cooldown Recovery Speed,Cold Snap
Enchantment Cold Snap Cooldown Speed 2,Eternal Labyrinth,30% increased Cold Snap Cooldown Recovery Speed,Cold Snap
Enchantment Cold Snap Damage 1,Merciless Labyrinth,25% increased Cold Snap Damage,Cold Snap
Enchantment Cold Snap Damage 2,Eternal Labyrinth,40% increased Cold Snap Damage,Cold Snap
Enchantment Cold Snap Area Of Effect 1,Merciless Labyrinth,8% increased Cold Snap Area of Effect,Cold Snap
Enchantment Cold Snap Area Of Effect 2,Eternal Labyrinth,12% increased Cold Snap Area of Effect,Cold Snap
Enchantment Conductivity Curse Effect 1,Merciless Labyrinth,20% increased Conductivity Curse Effect,Conductivity
Enchantment Conductivity Curse Effect 2,Eternal Labyrinth,30% increased Conductivity Curse Effect,Conductivity
Enchantment Conductivity Duration 1,Merciless Labyrinth,30% increased Conductivity Duration,Conductivity
Enchantment Conductivity Duration 2,Eternal Labyrinth,45% increased Conductivity Duration,Conductivity
Enchantment Consecrated Path Damage 1,Merciless Labyrinth,Consecrated Path deals 25% increased Damage,Consecrated Path
Enchantment Consecrated Path Damage 2,Eternal Labyrinth,Consecrated Path deals 40% increased Damage,Consecrated Path
Enchantment Consecrated Path Area Of Effect 1,Merciless Labyrinth,Consecrated Path has 8% increased Area of Effect,Consecrated Path
Enchantment Consecrated Path Area Of Effect 2,Eternal Labyrinth,Consecrated Path has 12% increased Area of Effect,Consecrated Path
Enchantment Consecrated Path Range 1,Merciless Labyrinth,Consecrated Path has 10% increased teleport range,Consecrated Path
Enchantment Consecrated Path Range 2,Eternal Labyrinth,Consecrated Path has 15% increased teleport range,Consecrated Path
Enchantment Contagion Damage 1,Merciless Labyrinth,25% increased Contagion Damage,Contagion
Enchantment Contagion Damage 2,Eternal Labyrinth,40% increased Contagion Damage,Contagion
Enchantment Contagion Duration 1,Merciless Labyrinth,20% increased Contagion Duration,Contagion
Enchantment Contagion Duration 2,Eternal Labyrinth,30% increased Contagion Duration,Contagion
Enchantment Contagion Radius 1,Merciless Labyrinth,8% increased Contagion Area of Effect,Contagion
Enchantment Contagion Radius 2,Eternal Labyrinth,12% increased Contagion Area of Effect,Contagion
Enchantment Conversion Trap Cooldown Speed 1,Merciless Labyrinth,20% increased Conversion Trap Cooldown Recovery Speed,Conversion Trap
Enchantment Conversion Trap Cooldown Speed 2,Eternal Labyrinth,30% increased Conversion Trap Cooldown Recovery Speed,Conversion Trap
Enchantment Conversion Trap Damage 1,Merciless Labyrinth,Converted Enemies have 25% increased Damage,Conversion Trap
Enchantment Conversion Trap Damage 2,Eternal Labyrinth,Converted Enemies have 40% increased Damage,Conversion Trap
Enchantment Convocation Cooldown Speed 1,Merciless Labyrinth,20% increased Convocation Cooldown Recovery Speed,Convocation
Enchantment Convocation Cooldown Speed 2,Eternal Labyrinth,30% increased Convocation Cooldown Recovery Speed,Convocation
Enchantment Convocation Life Regeneration 1,Merciless Labyrinth,24% increased Convocation Buff Effect,Convocation
Enchantment Convocation Life Regeneration 2,Eternal Labyrinth,36% increased Convocation Buff Effect,Convocation
Enchantment Cremation Cast Speed 1,Merciless Labyrinth,8% increased Cremation Cast Speed,Cremation
Enchantment Cremation Cast Speed 2,Eternal Labyrinth,12% increased Cremation Cast Speed,Cremation
Enchantment Cremation Damage 1,Merciless Labyrinth,25% increased Cremation Damage,Cremation
Enchantment Cremation Damage 2,Eternal Labyrinth,40% increased Cremation Damage,Cremation
Enchantment Cremation Maximum Geysers 1,Eternal Labyrinth,Cremation can have up to 1 additional Geyser at a time,Cremation
Enchantment Cyclone Attack Speed 1,Merciless Labyrinth,10% increased Cyclone Attack Speed,Cyclone
Enchantment Cyclone Attack Speed 2,Eternal Labyrinth,15% increased Cyclone Attack Speed,Cyclone
Enchantment Cyclone Damage 1,Merciless Labyrinth,25% increased Cyclone Damage,Cyclone
Enchantment Cyclone Damage 2,Eternal Labyrinth,40% increased Cyclone Damage,Cyclone
